,pl,be,uk,ru,bg,sl,cs,gender,en
1959,Joachim von Ribbentrop,Іаахім фон Рыбентроп,Йоахім фон Ріббентроп,Иоахим Риббентроп,Йоахим фон Рибентроп,Joachim von Ribbentrop,Joachim von Ribbentrop,m,Joachim von Ribbentrop
1960,Władimir Dal,Уладзімір Іванавіч Даль,Володимир Даль,Владимир Даль,Владимир Дал,Vladimir Ivanovič Dalj,Vladimir Dal,m,Vladimir Dal
1961,Hugo Grocjusz,Гуга Гроцый,Гуго Гроцій,Гуго Гроций,Хуго Гроций,Hugo Grotius,Hugo Grotius,m,Hugo Grotius
1962,John Dalton,Джон Дальтан,Джон Дальтон,Джон Дальтон,Джон Далтон,John Dalton,John Dalton,m,John Dalton
1963,Rubén Darío,Рубэн Дарыа,Рубен Даріо,Рубен Дарио,Рубен Дарио,Rubén Darío,Rubén Darío,m,Rubén Darío
1964,Ingrid Bergman,Інгрыд Бергман,Інгрід Бергман,Ингрид Бергман,Ингрид Бергман,Ingrid Bergman,Ingrid Bergmanová,f,Ingrid Bergman
1965,Giambologna,Джамбалонья,Джамболонья,Джамболонья,Джамболоня,Giambologna,Giambologna,m,Giambologna
1966,Brian David Josephson,Браян Дэйвід Джозефсан,Браян Девід Джозефсон,Брайан Джозефсон,Брайън Джоузефсън,Brian David Josephson,Brian David Josephson,m,Brian Josephson
1967,Inigo Jones,Ініга Джонс,Ініго Джонс,Иниго Джонс,Иниго Джоунс,Inigo Jones,Inigo Jones,m,Inigo Jones
1968,Giulio Romano,Джуліа Рамана,Джуліо Романо,Джулио Романо,Джулио Романо,Giulio Romano,Giulio Romano,m,Giulio Romano
1969,Artemisia Gentileschi,Артэмізія Джэнтылескі,Артемізія Джентілескі,Артемизия Джентилески,Артемизия Джентилески,Artemisia Gentileschi,Artemisia Gentileschiová,f,Artemisia Gentileschi
1970,Jules Dumont d’Urville,Жуль Себасцьен Сезар Дзюмон-Дзюрвіль,Жуль Дюмон-Дюрвіль,Жюль Дюмон-Дюрвиль,Жул Дюмон-Дюрвил,Jules Dumont d'Urville,Jules Dumont d'Urville,m,Jules Dumont d'Urville
1971,Erik Satie,Эрык Саці,Ерік Саті,Эрик Сати,Ерик Сати,Erik Satie,Erik Satie,m,Erik Satie
1972,Henry Hudson,Генры Гудзон,Генрі Гудзон,Генри Гудзон,Хенри Хъдсън,Henry Hudson,Henry Hudson,m,Henry Hudson
1973,Friedrich Dürrenmatt,Фрыдрых Дзюрэнмат,Фрідріх Дюрренматт,Фридрих Дюрренматт,Фридрих Дюренмат,Friedrich Dürrenmatt,Friedrich Dürrenmatt,m,Friedrich Dürrenmatt
1974,Majmonides,Майманід,Маймонід,Маймонид,Моисей Маймонид,Mojzes Majmonid,Maimonides,m,Maimonides
1975,Christian Andreas Doppler,Крысціян Доплер,Крістіан Доплер,Кристиан Доплер,Кристиан Доплер,Christian Andreas Doppler,Christian Doppler,m,Christian Doppler
1976,Christian de Duve,Крысціян Рэнэ дэ Дзюу,Крістіан де Дюв,Кристиан Дюв,Кристиан дьо Дюв,Christian de Duve,Christian de Duve,m,Christian de Duve
1977,Henry Hallett Dale,Генры Халет Дэйл,Генрі Дейл,Генри Дейл,Хенри Дейл,Henry Hallett Dale,Henry Hallett Dale,m,Henry Hallett Dale
1978,Otto Loewi,Ота Лёві,Отто Леві,Отто Лёви,Ото Льови,Otto Loewi,Otto Loewi,m,Otto Loewi
1979,Antoon van Dyck,Антоніс ван Дэйк,Антоніс ван Дейк,Антонис Ван Дейк,Антонис ван Дайк,Anthonis van Dyck,Anthonis van Dyck,m,Anthony van Dyck
1980,Al-Idrisi,Аль-Ідрысі,Мухаммад аль-Ідрісі,Мухаммад аль-Идриси,Мохамед ал-Идриси,Al-Idrizi,Al-Idrísí,m,Muhammad al-Idrisi
1981,Werner Forßmann,Вернер Форсман,Вернер Форсман,Вернер Форсман,Вернер Форсман,Werner Forßmann,Werner Forßmann,m,Werner Forssmann
1982,Robert Bárány,Роберт Барані,Роберт Барані,Роберт Барани,Роберт Барани,Robert Bárány,Robert Bárány,m,Robert Bárány
1983,Pavol Jozef Šafárik,П. Шафарык,Павел Шафарик,Павел Шафарик,Павел Шафарик,Josef Pavol Šafárik,Pavel Josef Šafařík,m,Pavel Jozef Šafárik
1984,Alexis Carrel,Алексіс Карэль,Алексіс Каррель,Алексис Каррель,Алексис Карел,Alexis Carrel,Alexis Carrel,m,Alexis Carrel
1985,Otto Hahn,Ота Ган,Отто Ган,Отто Ган,Ото Хан,Otto Hahn,Otto Hahn,m,Otto Hahn
1986,Fritz Pregl,Фрыц Прэгль,Фріц Прегль,Фриц Прегль,Фриц Прегъл,Friderik Pregl,Fritz Pregl,m,Fritz Pregl
1987,John D. Rockefeller,Джон Дэйвісан Рокфелер,Джон Рокфеллер,Джон Рокфеллер,Джон Рокфелер,John D. Rockefeller,John D. Rockefeller,m,John D. Rockefeller
1988,Paul Nurse,Пол Нерс,Пол Нерс,Пол Нерс,Пол Нърс,Paul Nurse,Paul Nurse,m,Paul Nurse
1989,Nikołaj Siemionow,Мікалай Мікалаевіч Сямёнаў,Микола Семенов,Николай Семёнов,Николай Семьонов,Nikolaj Nikolajevič Semjonov,Nikolaj Nikolajevič Semjonov,m,Nikolay Semyonov
1990,Cyril Hinshelwood,Сірыл Норман Хіншэлвуд,Сиріл Норман Гіншелвуд,Сирил Хиншелвуд,Сирил Хиншълуд,Cyril Norman Hinshelwood,Cyril Norman Hinshelwood,m,Cyril Norman Hinshelwood
1991,Max Perutz,Макс Фердынанд Перуц,Фердинанд Макс,Макс Перуц,Макс Перуц,Max Ferdinand Perutz,Max Perutz,m,Max Perutz
1992,Ada Jonath,Ада Ёнат,Ада Йонат,Ада Йонат,Ада Йонат,Ada E. Yonath,Ada Jonathová,f,Ada Yonath
1993,Konrad Bloch,Конрад Эміль Блох,Конрад Блох,Конрад Блох,Конрад Блох,Konrad Emil Bloch,Konrad Bloch,m,Konrad Emil Bloch
1994,Keanu Reeves,Кіану Рыўз,Кіану Рівз,Киану Ривз,Киану Рийвс,Keanu Reeves,Keanu Reeves,m,Keanu Reeves
1995,Bert Sakmann,Берт Закман,Берт Закман,Берт Закман,Берт Закман,Bert Sakmann,Bert Sakmann,m,Bert Sakmann
1996,Urban VI,Урбан VI,Урбан VI,Урбан VI,Урбан VI,Papež Urban VI,Urban VI,m,Pope Urban VI
1997,Henryk V Lancaster,Генрых V ,Генріх V ,Генрих V ,Хенри V,Henrik V. Angleški,Jindřich V. Plantagenet,m,Henry V of England
