,pl,be,uk,ru,bg,sl,cs,gender,en
180,Irving Berlin,Ірвінг Берлін,Ірвінг Берлін,Ирвинг Берлин,Ървинг Бърлин,Irving Berlin,Irving Berlin,m,Irving Berlin
181,Oskar Schindler,Оскар Шындлер,Оскар Шиндлер,Оскар Шиндлер,Оскар Шиндлер,Oskar Schindler,Oskar Schindler,m,Oskar Schindler
182,Alaksandr Łukaszenka,Аляксандр Лукашэнка,Олександр Лукашенко,Александр Лукашенко,Александър Лукашенко,Aleksander Lukašenko,Alexandr Lukašenko,m,Alexander Lukashenko
183,Tyberiusz,Тыберый,Тиберій,Тиберий,Тиберий,Tiberij,Tiberius,m,Tiberius
184,Mstisław Rostropowicz,Мсціслаў Растраповіч,Мстислав Ростропович,Мстислав Ростропович,Мстислав Ростропович,Mstislav Rostropovič,Mstislav Rostropovič,m,Mstislav Rostropovich
185,Faustyna Kowalska,Фаўстына Кавальская,Фаустина Ковальська,Фаустина Ковальская,Фаустина Ковалска,Favstina Kowalska,Maria Faustyna Kowalska,f,Faustina Kowalska
186,Eugène Delacroix,Эжэн Дэлакруа,Ежен Делакруа,Эжен Делакруа,Йожен Дьолакроа,Eugène Delacroix,Eugène Delacroix,m,Eugène Delacroix
187,Jan Kalwin,Жан Кальвін,Жан Кальвін,Жан Кальвин,Жан Калвин,Jean Calvin,Jan Kalvín,m,John Calvin
188,Huldrych Zwingli,Ульрых Цвінглі,Ульріх Цвінглі,Ульрих Цвингли,Улрих Цвингли,Ulrich Zwingli,Ulrich Zwingli,m,Huldrych Zwingli
189,Salvador Allende,Сальвадор Альендэ,Сальвадор Альєнде,Сальвадор Альенде,Салвадор Алиенде,Salvador Allende,Salvador Allende,m,Salvador Allende
190,George Lucas,Джордж Лукас,Джордж Лукас,Джордж Лукас,Джордж Лукас,George Lucas,George Lucas,m,George Lucas
191,Alfred Hitchcock,Альфрэд Хічкок,Альфред Гічкок,Альфред Хичкок,Алфред Хичкок,Alfred Hitchcock,Alfred Hitchcock,m,Alfred Hitchcock
192,Thomas Alva Edison,Томас Эдысан,Алва Томас,Томас Эдисон,Томас Едисън,Thomas Alva Edison,Thomas Alva Edison,m,Thomas Edison
193,Olga Korbut,Вольга Корбут,Ольга Корбут,Ольга Корбут,Олга Корбут,Olga Korbut,Olga Korbutová,f,Olga Korbut
194,Krzysztof Kolumb,Хрыстафор Калумб,Христофор Колумб,Христофор Колумб,Христофор Колумб,Krištof Kolumb,Kryštof Kolumbus,m,Christopher Columbus
195,Galileusz,Галілеа Галілей,Галілео Галілей,Галилео Галилей,Галилео Галилей,Galileo Galilei,Galileo Galilei,m,Galileo Galilei
196,Gustav Klimt,Густаў Клімт,Густав Клімт,Густав Климт,Густав Климт,Gustav Klimt,Gustav Klimt,m,Gustav Klimt
197,Mikołaj Kopernik,Мікалай Капернік,Миколай Коперник,Николай Коперник,Николай Коперник,Nikolaj Kopernik,Mikuláš Koperník,m,Nicolaus Copernicus
198,Klemens I,Клімент I,Климент I,Климент I,Климент I,Papež Klemen I,Klement I,m,Pope Clement I
199,Urban VII,Урбан VII,Урбан VII,Урбан VII,Урбан VII,Papež Urban VII,Urban VII,m,Pope Urban VII
200,Ewaryst ,Эварыст,Еварист,Эварист ,Еварист,Papež Evarist,Evaristus,m,Pope Evaristus
201,Jarosław I Mądry,Яраслаў Уладзіміравіч,Ярослав Мудрий,Ярослав Владимирович Мудрый,Ярослав I,Jaroslav Modri,Jaroslav I. Moudrý,m,Yaroslav the Wise
202,Pius I,Пій I,Пій I,Пий I,Пий I,Papež Pij I,Pius I,m,Pope Pius I
203,Johannes Gutenberg,Іаган Гутэнберг,Йоганн Гутенберг,Иоганн Гутенберг,Йоханес Гутенберг,Johannes Gutenberg,Johannes Gutenberg,m,Johannes Gutenberg
204,Abraham Ortelius,Абрахам Артэлій,Абрагам Ортеліус,Аврам Ортелий,Абрахам Ортелий,Abraham Ortelius,Abraham Ortelius,m,Abraham Ortelius
205,George W. Bush,Джордж Буш-малодшы,Вокер Джордж,Джордж Буш,Джордж Уокър Буш,George Walker Bush,George W. Bush,m,George W. Bush
206,Beda Czcigodny,Беда Вялебны,Беда Преподобний,Беда Достопочтенный,Беда Достопочтени,Beda Častitljivi,Beda Ctihodný,m,Bede
207,Arystoteles,Арыстоцель,Арістотель,Аристотель,Аристотел,Aristotel,Aristotelés,m,Aristotle
208,Isaac Albéniz,Ісак Альбеніс,Ісаак Альбеніс,Исаак Альбенис,Исак Албенис,Isaac Albéniz,Isaac Albéniz,m,Isaac Albéniz
209,Marija Šerifović,Марыя Шэрыфавіч,Марія Шерифович,Мария Шерифович,Мария Шерифович,Marija Šerifović,Marija Šerifovićová,f,Marija Šerifović
210,Regiomontanus,Іаган Рэгіямантан,Реґіомонтан,Региомонтан,Йохан Региомонтан,Regiomontan,Regiomontanus,m,Regiomontanus
211,Szimon Peres,Шыман Перэс,Шимон Перес,Шимон Перес,Шимон Перес,Šimon Peres,Šimon Peres,m,Shimon Peres
212,Salvador Dalí,Сальвадор Далі,Сальвадор Далі,Сальвадор Дали,Салвадор Дали,Salvador Dalí,Salvador Dalí,m,Salvador Dalí
213,Platon,Платон,Платон,Платон,Платон,Platon,Platón,m,Plato
214,Diego Velázquez,Дыега Веласкес,Дієго Веласкес,Диего Веласкес,Диего Веласкес,Diego Velázquez,Diego Velázquez,m,Diego Velázquez
215,Vincent van Gogh,Вінцэнт ван Гог,ван Вінсент,Винсент Ван Гог,Винсент ван Гог,Vincent van Gogh,Vincent van Gogh,m,Vincent van Gogh
216,Ichirō Mizuki,Іціра Мідзукі,Мідзукі Ітіро,Итиро Мидзуки,Ичиро Мидзуки,Ičiro Mizuki,Ičiró Mizuki,m,Ichirou Mizuki
217,Elżbieta II,Лізавета II,Єлизавета II,Елизавета II,Елизабет II,Elizabeta II. Britanska,Alžběta II,f,Elizabeth II
218,Adam Mickiewicz,Адам Міцкевіч,Адам Міцкевич,Адам Мицкевич,Адам Мицкевич,Adam Mickiewicz,Adam Mickiewicz,m,Adam Mickiewicz
219,Tukidydes,Фукідыд,Фукідід,Фукидид,Тукидид,Tukidid,Thúkydidés,m,Thucydides
220,Pablo Neruda,Пабла Нэруда,Пабло Неруда,Пабло Неруда,Пабло Неруда,Pablo Neruda,Pablo Neruda,m,Pablo Neruda
221,Paul McCartney,Пол Мак-Картні,Пол Маккартні,Пол Маккартни,Пол Маккартни,Paul McCartney,Paul McCartney,m,Paul McCartney
222,Anaklet,Анаклет,Анакліт,Клет ,Анаклет I,Papež Anaklet I,Anaklét,m,Pope Anacletus
223,Sykstus I,Сікст I,Сікст I,Сикст I,Сикст I,Papež Sikst I,Sixtus I,m,Pope Sixtus I
224,Telesfor ,Тэлесфор,Телесфор ,Телесфор ,Телесфор ,Papež Telesfor,Telesforus,m,Telesphorus
225,Hygin ,Гігін ,Гігін,Гигин ,Хигин ,Papež Higin,Hyginus,m,Gaius Julius Hyginus
226,Marc Chagall,Марк Шагал,Марк Шагал,Марк Шагал,Марк Шагал,Marc Chagall,Marc Chagall,m,Marc Chagall
227,Zygmunt II August,Жыгімонт II Аўгуст,Сигізмунд II Август,Сигизмунд II Август,Зигмунт II Август,Sigismund II. Avgust,Zikmund II. August,m,Sigismund II Augustus
228,Anicet ,Аніцэт ,Анікет,Аникет ,Аникет,Papež Anicet,Anicetus,m,Pope Anicetus
229,Soter ,Сотар ,Сотер ,Сотер ,Сотер,Papež Soter,Soter,m,Pope Soter
230,Eleuteriusz ,Алеўтэр ,Елевтерій,Елевферий ,Елевтерий,Papež Elevterij,Eleutherus,m,Pope Eleutherius
231,Józef Ignacy Kraszewski,Юзаф Крашэўскі,Юзеф Крашевський,Юзеф Крашевский,Юзеф Крашевски,Józef Ignacy Kraszewski,Józef Ignacy Kraszewski,m,Józef Ignacy Kraszewski
232,Piotr I Wielki,Пётр I ,Петро I,Пётр I,Петър I ,Peter Veliki,Petr I. Veliký,m,Peter I
233,Perykles,Перыкл,Перікл,Перикл,Перикъл,Periklej,Periklés,m,Pericles
234,Filip II Macedoński,Філіп II Македонскі,Філіпп II Македонський,Филипп II Македонский,Филип II Македонски,Filip II. Makedonski,Filip II. Makedonský,m,Philip II of Macedon
235,Łarysa Geniusz,Ларыса Геніюш,Лариса Геніюш,Лариса Гениюш,Лариса Гениюш,Larysa Hienijuš,Larysa Henijuš,f,Larysa Hienijuš
236,Kazimierz IV Jagiellończyk,Казімір IV Ягелончык,Казимир IV Ягеллончик,Казимир IV,Кажимеж IV Ягелончик,Kazimir IV. Poljski,Kazimír IV. Jagellonský,m,Casimir IV Jagiellon
237,Rudolf Diesel,Рудольф Дызель,Рудольф Дізель,Рудольф Дизель,Рудолф Дизел,Rudolf Diesel,Rudolf Diesel,m,Rudolf Diesel
238,Eleanor Roosevelt,Элеанора Рузвельт,Елеонора Рузвельт,Элеонора Рузвельт,Елинор Рузвелт,Eleanor Roosevelt,Eleanor Rooseveltová,f,Eleanor Roosevelt
239,Claude Monet,Клод Манэ,Клод Моне,Клод Моне,Клод Моне,Claude Monet,Claude Monet,m,Claude Monet
240,Che Guevara,Чэ Гевара,Ернесто Че Гевара,Эрнесто Че Гевара,Че Гевара,Che Guevara,Che Guevara,m,Che Guevara
241,Fidel Castro,Фідэль Кастра,Фідель Кастро,Фидель Кастро,Фидел Кастро,Fidel Castro,Fidel Castro,m,Fidel Castro
242,Jan II Kazimierz Waza,Ян II Казімір Ваза,Ян II Казимир,Ян II Казимир,Ян II Кажимеж,Ivan II. Poljski,Jan II. Kazimír Vasa,m,John II Casimir Vasa
243,Tadeusz Wolański,Тадэвуш Валянскі,Тадеуш Волянський,Тадеуш Воланский,Тадеуш Волянски,Tadeusz Wolanski,Tadeusz Wolański,m,Tadeusz Wolański
244,Wincenty Ferreriusz,Вінцэнт Ферэр,Вінсент Ферер,Викентий Феррер,Висент Ферер,Vincencij Ferrer,Vincenc Ferrerský,m,Vincent Ferrer
245,Heinrich Hertz,Генрых Герц,Генріх Герц,Генрих Герц,Хайнрих Херц,Heinrich Rudolf Hertz,Heinrich Hertz,m,Heinrich Hertz
246,Piotr II Romanow,Пётр II,Петро II Олексійович,Пётр II,Петър II ,Peter II. Ruski,Petr II. Ruský,m,Peter II
247,Iwan VI Romanow,Іван VI,Іван VI Антонович,Иван VI,Иван VI,Ivan VI. Ruski,Ivan VI. Antonovič,m,Ivan VI of Russia
248,Katarzyna I,Кацярына I ,Катерина I,Екатерина I,Екатерина I,Katarina I. Ruska,Kateřina I. Ruská,f,Catherine I of Russia
249,Anna Romanowa,Ганна Іванаўна ,Анна Іванівна,Анна Иоанновна,Анна Ивановна,Ana Ruska,Anna Ivanovna,f,Anna of Russia
250,Piotr III Romanow,Пётр III,Петро III,Пётр III,Петър III ,Peter III. Ruski,Petr III. Ruský,m,Peter III
251,Jean le Rond d’Alembert,Жан ля Рон д’Аламбер,Жан д'Аламбер,Жан Д’Аламбер,Жан льо Рон д'Аламбер,Jean le Rond d'Alembert,Jean le Rond d'Alembert,m,Jean le Rond d'Alembert
252,Charles Darwin,Чарльз Дарвін,Чарлз Дарвін,Чарлз Дарвин,Чарлз Дарвин,Charles Darwin,Charles Darwin,m,Charles Darwin
253,Antonín Dvořák,Антанін Дворжак,Антонін Дворжак,Антонин Дворжак,Антонин Дворжак,Antonín Leopold Dvořák,Antonín Dvořák,m,Antonín Dvořák
254,René Descartes,Рэнэ Дэкарт,Рене Декарт,Рене Декарт,Рене Декарт,René Descartes,René Descartes,m,René Descartes
255,Wasyl II Ślepy,Васіль II,Василь II Темний,Василий II Тёмный,Василий II Тъмни,Vasilij II. Vasiljevič,Vasilij II,m,Vasily II of Moscow
256,Johannes Kepler,Іаган Кеплер,Йоганн Кеплер,Иоганн Кеплер,Йохан Кеплер,Johannes Kepler,Johannes Kepler,m,Johannes Kepler
257,Uładzimir Karatkiewicz,Уладзімір Караткевіч,Володимир Короткевич,Владимир Короткевич,Уладзимир Караткевич,Uładzimir Karatkievič,Uladzimir Karatkevič,m,Uladzimir Karatkievich
258,Aleksandr Suworow,Аляксандр Сувораў,Олександр Суворов,Александр Суворов,Александър Суворов,Aleksander Suvorov,Alexandr Suvorov,m,Alexander Suvorov
259,Jan z Damaszku,Іван Дамаскін,Іван Дамаскин,Иоанн Дамаскин,Йоан Дамаскин,Janez Damaščan,Jan z Damašku,m,John of Damascus
260,Iwan III Srogi,Іван III,Іван III Васильович,Иван III Васильевич,Иван III,Ivan III. Vasiljevič,Ivan III,m,Ivan III of Russia
261,Elżbieta Romanowa,Лізавета Пятроўна,Єлизавета Петрівна,Елизавета Петровна,Елисавета ,Elizabeta Ruska,Alžběta Petrovna,f,Elisaveta
262,Johann Sebastian Bach,Іаган Себасцьян Бах,Себастьян Йоганн,Иоганн Бах,Йохан Себастиан Бах,Johann Sebastian Bach,Johann Sebastian Bach,m,Johann Sebastian Bach
263,Aleksander I Romanow,Аляксандр I ,Олександр I,Александр I,Александър I ,Aleksander I. Ruski,Alexandr I. Pavlovič,m,Alexander I
264,Mikołaj I Romanow,Мікалай I ,Микола I ,Николай I,Николай I ,Nikolaj I. Ruski,Mikuláš I. Pavlovič,m,Nicholas I
265,Philip José Farmer,Філіп Хасэ Фармер,Філіп Фармер,Филип Фармер,Филип Фармър,Philip José Farmer,Philip José Farmer,m,Philip José Farmer
266,Henryk Sienkiewicz,Генрык Сянкевіч,Генрик Сенкевич,Генрик Сенкевич,Хенрик Сенкевич,Henryk Sienkiewicz,Henryk Sienkiewicz,m,Henryk Sienkiewicz
267,Richard Stallman,Рычард Столман,Річард Столмен,Ричард Столлман,Ричард Столман,Richard Matthew Stallman,Richard Stallman,m,Richard Stallman
268,Mesrop Masztoc,Месроп Маштоц,Месроп Маштоц,Месроп Маштоц,Месроп Мащоц,Mesrop Maštoc,Mesrop Maštoc,m,Mesrop Mashtots
269,Aleksy I Romanow,Аляксей Раманаў,Олексій Михайлович,Алексей Михайлович,Алексей ,Aleksej Ruski,Alexej I. Michajlovič,m,Alexey
270,Fiodor I,Фёдар I ,Федір I Іванович,Фёдор Иванович,Фьодор I,Fjodor I. Ruski,Fjodor I,m,Feodor I of Russia
