,pl,be,uk,ru,bg,sl,cs
860,Sulla,Луцый Карнелій Сула,Луцій Корнелій Сулла,Луций Корнелий Сулла,Луций Корнелий Сула,Sula,Sulla
861,Gajusz Juliusz Cezar,Цэзар,Гай Юлій Цезар,Гай Юлий Цезарь,Юлий Цезар,Gaj Julij Cezar,Julius Caesar
862,Sulla,Луцый Карнэлій Сула,Луцій Корнелій Сулла,Луций Корнелий Сулла,Луций Корнелий Сула,Sula,Sulla
863,Ilja Riepin,Ілья Яфімавіч Рэпін,Ілля Рєпін,Илья Репин,Иля Репин,Ilja Jefimovič Repin,Ilja Repin
864,Ilja Riepin,Рэпін,Ілля Рєпін,Илья Репин,Иля Репин,Ilja Jefimovič Repin,Ilja Repin
865,Antoni Gaudí,Антоніа Гаўдзі,Антоніо Гауді,Антонио Гауди,Антони Гауди,Antoni Gaudí,Antoni Gaudí
866,Aleksander Puszkin,А. Пушкін,Олександр Пушкін,Александр Пушкин,Александър Пушкин,Aleksander Sergejevič Puškin,Alexandr Sergejevič Puškin
867,Aleksander Puszkin,А. С. Пушкін,Олександр Пушкін,Александр Пушкин,Александър Пушкин,Aleksander Sergejevič Puškin,Alexandr Sergejevič Puškin
868,Jurij Gagarin,Юрый Гагарын,Юрій Гагарін,Юрий Гагарин,Юрий Гагарин,Jurij Aleksejevič Gagarin,Jurij Gagarin
869,Piotr Czajkowski,Пётр Чайкоўскі,Петро Чайковський,Пётр Чайковский,Пьотър Чайковски,Peter Iljič Čajkovski,Petr Iljič Čajkovskij
