,pl,be,uk,ru,bg,sl,cs
5385,Edward Snowden,Эдвард Сноўдэн,Едвард Сноуден,Эдвард Сноуден,Едуард Сноудън,Edward Snowden,Edward Snowden
5386,David Gross,Дэвід Грос,Девід Гросс,Дейвид Гросс,Дейвид Грос,David Jonathan Gross,David Jonathan Gross
5387,Rodolfo Graziani,Радольфа Грацыяні,Родольфо Граціані,Родольфо Грациани,Родолфо Грациани,Rodolfo Graziani,Rodolfo Graziani
5388,Joanna II ,Джавана II,Джованна II,Джованна II,Джована II Анжуйска,Ivana II. Neapeljska,Johana II. Neapolská
5389,Jerzy z Cambridge,Георг Аляксандр Луіс,Принц Джордж Кембриджський,Джордж Кембриджский,Джордж Кеймбриджки,Princ George Cambriški,Princ George z Cambridge
5390,Jerzy z Cambridge,Прынц Джордж Кембрыджскі,Принц Джордж Кембриджський,Джордж Кембриджский,Джордж Кеймбриджки,Princ George Cambriški,Princ George z Cambridge
5391,Konstantyn ,Канстанцін,Костянтин ,Константин ,Константин ,Papež Konstantin,Konstantin 
5392,Władysław I Łokietek,Уладзіслаў I Лакетак,Владислав I Локетек,Владислав I Локетек,Владислав I Локетек,Vladislav I. Poljski,Vladislav I. Lokýtek
5393,Konstantyn I Wielki,Святы Канстанцін,Константин І Великий,Константин I Великий,Константин I,Konstantin I. Veliki,Konstantin I. Veliký
5394,Lew Trocki,Леў Давыдавіч Троцкі,Лев Троцький,Лев Троцкий,Лев Троцки,Lev Trocki,Lev Davidovič Trockij
5395,Giuliano Amato,Джуліяна Амата,Джуліано Амато,Джулиано Амато,Джулиано Амато,Giuliano Amato,Giuliano Amato
5396,Witruwiusz,Марк Вітрувій Паліён,Вітрувій,Витрувий,Витрувий,Vitruvij,Marcus Vitruvius Pollio
5397,Nikołaj Łobaczewski,Мікалай Іванавіч Лабачэўскі,Микола Лобачевський,Николай Лобачевский,Николай Лобачевски,Nikolaj Ivanovič Lobačevski,Nikolaj Ivanovič Lobačevskij
5398,Nikołaj Łobaczewski,Лабачэўскі Мікалай Іванавіч,Микола Лобачевський,Николай Лобачевский,Николай Лобачевски,Nikolaj Ivanovič Lobačevski,Nikolaj Ivanovič Lobačevskij
5399,Filip I Parmeński,Філіп I ,Філіп ,Филипп I ,Филип I ,Filip Parmski,Filip Parmský
5400,Bela IV,Бела IV,Бела IV,Бела IV,Бела IV,Béla IV. Ogrski,Béla IV
5401,Stefan V węgierski,Іштван V,Стефан V Арпад,Иштван V,Ищван V,Štefan V. Ogrski,Štěpán V. Uherský
5402,Stefan V węgierski,Іштван V,Стефан V Арпад,Иштван V,Ищван V,Štefan V. Ogrski,Štěpán V. Uherský
5403,Sławomir Mrożek,С. Мрожак,Славомир Мрожек,Славомир Мрожек,Славомир Мрожек,Sławomir Mrożek,Sławomir Mrożek
5404,Piotr Orseolo,Пётр Арсеола,Петро Орсеоло,Пётр Орсеоло,Петер Орсеоло,Peter Orseolo,Petr Orseolo
5405,Piotr Orseolo,Петэр Арсеола,Петро Орсеоло,Пётр Орсеоло,Петер Орсеоло,Peter Orseolo,Petr Orseolo
5406,Stefan I Święty,Іштван Святы,Стефан I Угорський,Иштван I Святой,Стефан I Унгарски,Štefan I. Ogrski,Štěpán I. Svatý
5407,Karol Robert,Карл Роберт,Карл I Роберт,Карл Роберт,Карл Роберт,Karel I. Ogrski,Karel I. Robert
5408,Andrzej III,Андраш III,Андрій III,Андраш III,Андраш III,Andrej III. Ogrski,Ondřej III
5409,Władysław III węgierski,Ласла III,Ласло III,Ласло III,Ласло III,Ladislav III. Ogrski,Ladislav III. Uherský
5410,Ferdynand IV Habsburg,Фердынанд IV Габсбург,Фердинанд IV Габсбург,Фердинанд IV Габсбург,Фердинанд IV Хабсбург,Ferdinand IV. Habsburški,Ferdinand IV. Habsburský
5411,Dietrich Buxtehude,Дзітрых Букстэхудэ,Дітріх Букстегуде,Дитрих Букстехуде,Дитрих Букстехуде,Dieterich Buxtehude,Dietrich Buxtehude
5412,Nadia Boulanger,Надзя Буланжэ,Надія Буланже,Надя Буланже,Надя Буланже,Nadia Boulanger,Nadia Boulangerová
5413,Georges Boulanger,Жорж Буланжэ,Жорж Буланже,Жорж Буланже,Жорж Буланже,Georges Boulanger,Georges Boulanger
5414,Celestyn III,Цэлесцін III,Целестин III,Целестин III,Целестин III,Papež Celestin III,Celestýn III
5415,Celestyn III,Цэлестын III,Целестин III,Целестин III,Целестин III,Papež Celestin III,Celestýn III
5416,Beatrycze ,Беатрыкс,Беатрікс,Беатрикс,Беатрикс Нидерландска,Beatrika Nizozemska,Beatrix Nizozemská
5417,Leon III Izauryjczyk,Леў III Ісаўр,Лев III Ісавр,Лев III Исавр,Лъв III ,Leon III. Izavrijec,Leon III. Syrský
5418,Teodozjusz I Wielki,Феадосій I,Феодосій Великий,Феодосий I Великий,Теодосий I,Teodozij I,Theodosius I
5419,Walens,Валент,Валент,Валент II,Валент ,Valens,Valens
5420,Anastazjusz II ,Анастасій II,Анастасій II ,Анастасий II,Анастасий II ,Anastazij II,Anastasios II
5421,Filipikos Bardanes,Філіпік ,Філіппік ,Филиппик,Филипик Вардан,Filipik Bardan,Filippikos Bardanes
5422,Leon III Izauryjczyk,Леў III,Лев III Ісавр,Лев III Исавр,Лъв III ,Leon III. Izavrijec,Leon III. Syrský
5423,Heron z Aleksandrii,Герон Александрыйскі,Герон Александрійський,Герон,Херон,Heron,Hérón Alexandrijský
5424,Heron z Aleksandrii,Герон,Герон Александрійський,Герон,Херон,Heron,Hérón Alexandrijský
5425,Alfred Kinsey,Альфрэд Кінсі,Альфред Кінсі,Альфред Кинси,Алфред Кинси,Alfred Kinsey,Alfred Charles Kinsey
5426,Iwan Kryłow,І. Крылоў,Іван Крилов,Иван Крылов,Иван Крилов,Ivan Andrejevič Krilov,Ivan Andrejevič Krylov
5427,Christopher Wren,К. Рэн,Крістофер Рен,Кристофер Рен,Кристофър Рен,Christopher Wren,Christopher Wren
5428,Manfred von Richthofen,Манфрэд фон Рыхтгофен,фон Манфред,Манфред Рихтгофен,Манфред фон Рихтхофен,Manfred von Richthofen,Manfred von Richthofen
5429,Jean Paul,Жан Поль,Жан Поль,Жан Поль,Жан Паул,Jean Paul,Jean Paul
5430,François-René de Chateaubriand,Франсуа-Рэнэ дэ Шатабрыян,де Франсуа-Рене,Франсуа Шатобриан,Франсоа Рене дьо Шатобриан,François-René de Chateaubriand,François René de Chateaubriand
5431,Shinzō Abe,Сіндза Абэ,Абе Сіндзо,Синдзо Абэ,Шиндзо Абе,Šinzo Abe,Šinzó Abe
5432,Marina Cwietajewa,Марына Цвятаева,Марина Цвєтаєва,Марина Цветаева,Марина Цветаева,Marina Cvetajeva,Marina Cvětajevová
5433,Yoritomo Minamoto,Мінамота-но Ёрытома,Мінамото-но Йорітомо,Минамото-но Ёритомо,Минамото но Йоритомо,Minamoto no Joritomo,Joritomo Minamoto
5434,Hideyoshi Toyotomi,Таётомі Хідэёсі,Тойотомі Хідейосі,Тоётоми Хидэёси,Тойотоми Хидейоши,Tojotomi Hidejoši,Hidejoši Tojotomi
5435,Louis Nicolas Davout,Луі Даву,Ніколя Луї,Луи Даву,Луи Даву,Louis-Nicolas Davout,Louis-Nicolas Davout
5436,Guillaume de Machaut,Гільём дэ Машо,Гійом де Машо,Гийом де Машо,Гийом дьо Машо,Guillaume de Machaut,Guillaume de Machaut
5437,Louis Nicolas Davout,Луі Нікола Даву,Ніколя Луї,Луи Даву,Луи Даву,Louis-Nicolas Davout,Louis-Nicolas Davout
5438,Louis Nicolas Davout,Луі Нікаля Даву,Ніколя Луї,Луи Даву,Луи Даву,Louis-Nicolas Davout,Louis-Nicolas Davout
5439,Hirohito,Сёва,Імператор Сьова,Хирохито,Хирохито,Hirohito,Hirohito
5440,Subrahmanyan Chandrasekhar,Субраманьян Чандрасекар,Субрахманьян Чандрасекар,Субраманьян Чандрасекар,Субраманиан Чандрасекар,Subrahmanyan Chandrasekhar,Subrahmanyan Chandrasekhar
5441,Hirohito,Імператар Сёва,Імператор Сьова,Хирохито,Хирохито,Hirohito,Hirohito
5442,Ferdinand Porsche,Фердынанд Паршэ,Фердинанд Порше,Фердинанд Порше,Фердинанд Порше,Ferdinand Porsche,Ferdinand Porsche
5443,Kleopatra,Клеапатра VII,Клеопатра VII,Клеопатра,Клеопатра VII,Kleopatra VII,Kleopatra VII
5444,Hermann Joseph Muller,Герман Джозеф Мёлер,Джозеф Герман,Герман Мёллер,Херман Джоузеф Малър,Hermann Joseph Muller,Hermann Joseph Muller
5445,Yoritomo Minamoto,Ёрытома Мінамота,Мінамото-но Йорітомо,Минамото-но Ёритомо,Минамото но Йоритомо,Minamoto no Joritomo,Joritomo Minamoto
5446,Yoritomo Minamoto,Мінамота но Ёрытома,Мінамото-но Йорітомо,Минамото-но Ёритомо,Минамото но Йоритомо,Minamoto no Joritomo,Joritomo Minamoto
5447,Richard Strauss,Р. Штраус,Ріхард Штраус,Рихард Штраус,Рихард Щраус,Richard Strauss,Richard Strauss
5448,Brahmagupta,Брахмагупта,Брамагупта,Брахмагупта,Брахмагупта,Brahmagupta,Brahmagupta
5449,Brahmagupta,Брамагупта,Брамагупта,Брахмагупта,Брахмагупта,Brahmagupta,Brahmagupta
5450,John Tyndall,Джон Тындаль,Джон Тіндаль,Джон Тиндаль,Джон Тиндал,John Tyndall,John Tyndall
5451,Johann Glauber,Іаган Рудольф Глаўбер,Рудольф Йоганн,Иоганн Глаубер,Йохан Глаубер,Johann Rudolf Glauber,Johann Rudolf Glauber
5452,Temistokles,Фемістокл,Фемістокл,Фемистокл,Темистокъл,Temistokles,Themistoklés
5453,Hideyoshi Toyotomi,Хідэёсі,Тойотомі Хідейосі,Тоётоми Хидэёси,Тойотоми Хидейоши,Tojotomi Hidejoši,Hidejoši Tojotomi
5454,Cyril Genik,Кірыл Генік,Кирило Геник,Кирилл Геник,Кирил Геник,Ciril Genik,Kyrylo Genyk
5455,Lajos Batthyány,Лаяш Бацьяні,Лайош Баттяні,Лайош Баттьяни,Лайош Батяни,Ludvik Batthyány,Lajos Batthyány
5456,William Godwin,Уільям Годвін,Вільям Ґодвін,Уильям Годвин,Уилям Годуин,William Godwin,William Godwin
5457,Robert Goddard ,Роберт Годард,Роберт Ґоддард,Роберт Годдард,Робърт Годард,Robert Hutchings Goddard,Robert Goddard
5458,John Kenneth Galbraith,Джон Кенет Гелбрэйт,Кеннет Джон,Джон Гэлбрейт,Джон Кенет Гълбрайт,John Kenneth Galbraith,John Kenneth Galbraith
5459,Ludvig Holberg,Людвіг Хольберг,Людвіг Гольберг,Людвиг Хольберг,Лудвиг Холберг,Ludvig Holberg,Ludvig Holberg
5460,Ludvig Holberg,Людвіг Гольберг,Людвіг Гольберг,Людвиг Хольберг,Лудвиг Холберг,Ludvig Holberg,Ludvig Holberg
5461,Slobodan Milošević,Слабодан Мілошавіч,Слободан Мілошевич,Слободан Милошевич,Слободан Милошевич,Slobodan Milošević,Slobodan Milošević
5462,Renzo Piano,Рэнца Піяна,Ренцо Піано,Ренцо Пиано,Ренцо Пиано,Renzo Piano,Renzo Piano
5463,Philip Johnson,Філіп Джонсан,Філіп Джонсон,Филип Джонсон,Филип Джонсън,Philip Johnson,Philip Johnson
5464,Che Guevara,Эрнэста Чэ Гевара,Че Ернесто,Эрнесто Че Гевара,Че Гевара,Che Guevara,Che Guevara
5465,Lionel Messi,Ліанель Месі,Ліонель Мессі,Лионель Месси,Лионел Меси,Lionel Messi,Lionel Messi
5466,Jude Law,Джуд Лоу,Джуд Лоу,Джуд Лоу,Джуд Лоу,Jude Law,Jude Law
5467,Feliks Dzierżyński,Фелікс Дзяржынскі,Фелікс Дзержинський,Феликс Дзержинский,Феликс Дзержински,Feliks Edmundovič Dzeržinski,Felix Edmundovič Dzeržinskij
5468,Stilpon,Стыльпон з Мегары,Стільпон,Стильпон из Мегары,Стилпон,Stilpon iz Megare,Stilpón
5469,Zenon z Kition,Зянон Кітыйскі,Зенон із Кітіона,Зенон Китийский,Зенон от Китион,Zenon iz Kitija,Zénón z Kitia
5470,Aleksander I Romanow,Аляксандр I,Олександр I,Александр I,Александър I ,Aleksander I. Ruski,Alexandr I. Pavlovič
5471,Ieyasu Tokugawa,Іэясу Такугава,Токуґава Ієясу,Токугава Иэясу,Токугава Иеясу,Tokugava Iejasu,Iejasu Tokugawa
5472,Dennis Ritchie,Dennis Ritchie,Денніс Рітчі,Деннис Ритчи,Денис Ричи,Dennis Ritchie,Dennis Ritchie
5473,Saladyn,Салах ад-Дзін,Салах ед Дін,Салах ад-Дин,Салах ад-Дин,Saladin,Saladin
5474,Ali ibn Abi Talib,Алі ібн Абі Таліб,Алі ібн Абу Таліб,Али ибн Абу Талиб,Али ибн Аби Талиб,Ali ,Alí
5475,Sergiusz IV,Сергій IV ,Сергій IV,Сергий IV,Сергий IV,Papež Sergij IV,Sergius IV
5476,Sergiusz IV,Сергій IV,Сергій IV,Сергий IV,Сергий IV,Papež Sergij IV,Sergius IV
5477,Grzegorz VII ,Рыгор VII,Григорій VII,Григорий VII ,Григорий VII,Papež Gregor VII,Řehoř VII
5478,Steven Spielberg,Спілберг,Стівен Спілберг,Стивен Спилберг,Стивън Спилбърг,Steven Spielberg,Steven Spielberg
5479,Leonardo DiCaprio,Леанарда Дзі Капрыё,Ді Леонардо,Леонардо Ди Каприо,Леонардо ди Каприо,Leonardo DiCaprio,Leonardo DiCaprio
5480,Joseph Goebbels,Іозеф Гебельс,Йозеф Геббельс,Йозеф Геббельс,Йозеф Гьобелс,Joseph Goebbels,Joseph Goebbels
5481,Zozym ,Зосіма ,Зосима,Зосима ,Зосим ,Papež Zosim,Zosimus
5482,Heinz Guderian,Гайнц Вільгельм Гудэрыян,Вільгельм Гайнц,Хайнц Гудериан,Хайнц Гудериан,Heinz Guderian,Heinz Guderian
5483,Bartolomeo Rastrelli,Ф. Б. Растрэлі,Бартоломео Франческо,Бартоломео Растрелли,Бартоломео Франческо Растрели,Francesco Bartolomeo Rastrelli,Bartolomeo Rastrelli
5484,Jean-Jacques Rousseau,Ж. Ж. Русо,Жан-Жак Руссо,Жан-Жак Руссо,Жан-Жак Русо,Jean-Jacques Rousseau,Jean-Jacques Rousseau
5485,Pompejusz,Пампей Вялікі,Гней Помпей,Гней Помпей Великий,Помпей Велики,Pompej Veliki,Pompeius
5486,Alfons VI,Альфонса VI Кастыльскі,Альфонсо VI,Альфонсо VI Храбрый,Алфонсо VI,Alfonz VI. Kastiljski,Alfons VI. Kastilský
5487,Leon I ,Леў I Макела,Лев I Макелла,Лев I Макелла,Лъв I Тракиец,Leon I. Tračan,Leon I
5488,Poliklet,Паліклет,Поліклет із Аргоса,Поликлет,Поликлет Стари,Poliklet,Polykleitos
5489,Poliklet,Паліклет Старэйшы,Поліклет із Аргоса,Поликлет,Поликлет Стари,Poliklet,Polykleitos
5490,Marek Agrypa,Марк Агрыпа,Марк Віпсаній Агріппа,Марк Випсаний Агриппа,Марк Випсаний Агрипа,Mark Vipsanij Agripa,Marcus Vipsanius Agrippa
5491,Marek Agrypa,Марк Віпсаній Агрыпа,Марк Віпсаній Агріппа,Марк Випсаний Агриппа,Марк Випсаний Агрипа,Mark Vipsanij Agripa,Marcus Vipsanius Agrippa
5492,Baldassare Peruzzi,Бальдасарэ Перуцы,Бальдазаре Перуцці,Бальдассаре Перуцци,Балдасаре Перуци,Baldassare Peruzzi,Baldassare Peruzzi
5493,Myron ,Міран з Элеўфераў,Мирон ,Мирон из Елевфер,Мирон,Miron,Myrón
5494,Bertolt Brecht,Бертольт Брэхт,Бертольт Брехт,Бертольт Брехт,Бертолт Брехт,Bertolt Brecht,Bertolt Brecht
5495,Asaph Hall,Асаф Хол,Асаф Голл,Асаф Холл,Асаф Хол,Asaph Hall,Asaph Hall
5496,Oktawian August,Цэзар Аўгуст,Октавіан Август,Октавиан Август,Октавиан Август,Gaj Avgust Oktavijan,Augustus
5497,Owidiusz,Публій Авідзій Назон,Овідій,Овидий,Овидий,Publij Ovidij Naso,Publius Ovidius Naso
5498,Ruhollah Chomejni,Рухола Мусаві Хамейні,Мусаві Рухолла,Рухолла Хомейни,Рухолах Хомейни,Ruholah Musavi Homeini,Rúholláh Chomejní
5499,Arjabhata,Арыябхата I,Аріабхата I,Ариабхата,Арябхата,Aryabhata I,Árjabhata
5500,Pol Pot,Салот Сар,Пол Пот,Пол Пот,Пол Пот,Pol Pot,Pol Pot
5501,Pompejusz,Гней Пампей Магн,Гней Помпей,Гней Помпей Великий,Помпей Велики,Pompej Veliki,Pompeius
5502,Ibn al-Hajsam,Ібн ал-Хайсам,Ібн аль-Хайсам,Ибн аль-Хайсам,Ибн ал-Хайтам,Alhacen,Alhazen
5503,Izydor z Miletu,Ісідар Мілецкі,Ісидор Мілетський,Исидор Милетский,Исидор от Милет,Izidor iz Mileta,Isidor z Milétu
5504,Bruce Dickinson,Пол Брус Дзікінсан,Брюс Дікінсон,Брюс Дикинсон,Брус Дикинсън,Bruce Dickinson,Bruce Dickinson
5505,Nicko McBrain,Ніка Макбрэйн,Ніко Мак-Брейн,Нико Макбрэйн,Нико Макбрейн,Nicko McBrain,Nicko McBrain
5506,Herakliusz ,Іраклій I,Іраклій,Ираклий I,Ираклий,Heraklij,Herakleios
5507,Anastazjusz I,Анастасій I,Анастасій I ,Анастасий I,Анастасий I ,Anastazij I. Dikor,Anastasios I
5508,Zenon Izauryjczyk,Флавій Зянон,Флавій Зенон,Зинон ,Зенон ,Zenon ,Zenon 
5509,Bazyliskus,Васіліск,Василіск ,Василиск ,Флавий Василиск,Bazilisk ,Basiliskos
5510,Bazyliskus,Васіліск ,Василіск ,Василиск ,Флавий Василиск,Bazilisk ,Basiliskos
5511,Leon II ,Леў II,Лев II ,Лев II,Лъв II,Leon II. ,Leon II
5512,François Englert,Франсуа Энглер,Франсуа Англер,Франсуа Энглер,Франсоа Англер,François Englert,François Englert
5513,Peter Higgs,Пітэр Хігс,Пітер Хіггс,Питер Хиггс,Питър Хигс,Peter Ware Higgs,Peter Higgs
5514,Hugo van der Goes,Хуга ван дэр Гус,Гуго ван дер Гус,Хуго ван дер Гус,Хюго ван дер Гус,Hugo van der Goes,Hugo van der Goes
5515,Jarosław I Mądry,Яраслаў Уладзіміравіч Мудры,Ярослав Мудрий,Ярослав Владимирович Мудрый,Ярослав I,Jaroslav Modri,Jaroslav I. Moudrý
5516,Wasyl II Ślepy,Васіль II Васільевіч Цёмны,Василь II Темний,Василий II Тёмный,Василий II Тъмни,Vasilij II. Vasiljevič,Vasilij II
5517,Alp Arslan,Алп-Арслан,Алп-Арслан,Алп-Арслан,Алп Арслан,Alp Arslan,Alp-Arslan
5518,Karol Młot,Карл Молат,Карл Мартел,Карл Мартелл,Карл Мартел,Karel Martel,Karel Martel
5519,Lukan,Лукан,Марк Анней Лукан,Марк Анней Лукан,Марк Анней Лукан,Mark Anej Lukan,Marcus Annaeus Lucanus
5520,Alice Munro,Эліс Манро,Еліс Манро,Элис Манро,Алис Мънро,Alice Munro,Alice Munroová
5521,Feliks V,Амадэй VIII,Фелікс V ,Амадей VIII,Амадей VIII Савойски,Protipapež Feliks V,Amadeus VIII. Savojský
5522,Eugeniusz IV,Яўгеній IV,Євгеній IV,Евгений IV,Евгений IV,Papež Evgen IV,Evžen IV
5523,Aleksander V ,Аляксандр V,Олександр V ,Александр V ,Александър V ,Protipapež Aleksander V,Alexandr V
5524,Charles Baudelaire,Шарль П'ер Бадлер,Шарль Бодлер,Шарль Бодлер,Шарл Бодлер,Charles Baudelaire,Charles Baudelaire
5525,Alice Munro,Эліс Мунро,Еліс Манро,Элис Манро,Алис Мънро,Alice Munro,Alice Munroová
5526,Jan IX ,Ян IX,Іван IX,Иоанн IX ,Йоан IX,Papež Janez IX,Jan IX
5527,Jan IX ,Ян IX ,Іван IX,Иоанн IX ,Йоан IX,Papež Janez IX,Jan IX
5528,Jan IX ,Ян IX,Іван IX,Иоанн IX ,Йоан IX,Papež Janez IX,Jan IX
5529,Jan IX ,Іаан IX,Іван IX,Иоанн IX ,Йоан IX,Papež Janez IX,Jan IX
5530,Formozus,Фармоз,Формоз,Формоз,Формоза ,Papež Formoz,Formosus
5531,Michał I Rangabe,Міхаіл I Рангаві,Михаїл I Рангаве,Михаил I Рангаве,Михаил I Рангаве,Mihael I. Rangab,Michael I. Rangabe
5532,Michał I Rangabe,Міхаіл I Рангавэ,Михаїл I Рангаве,Михаил I Рангаве,Михаил I Рангаве,Mihael I. Rangab,Michael I. Rangabe
5533,Benedykt IV,Бенедыкт IV ,Бенедикт IV,Бенедикт IV,Бенедикт IV,Papež Benedikt IV,Benedikt IV
5534,Benedykt IV,Бенедыкт IV,Бенедикт IV,Бенедикт IV,Бенедикт IV,Papež Benedikt IV,Benedikt IV
5535,Staurakios,Стаўракій,Ставракій,Ставракий,Ставракий,Stavrakij,Staurakios
5536,Konstantyn VIII,Канстанцін VIII,Костянтин VIII,Константин VIII,Константин VIII,Konstantin VIII,Konstantin VIII
5537,Aleksy IV Angelos,Аляксей IV Ангел,Олексій IV Ангел,Алексей IV Ангел,Алексий IV Ангел,Aleksej IV. Angel,Alexios IV. Angelos
5538,Nicefor III Botaniates,Нікіфар III Ватаніят,Никифор III Вотаніат,Никифор III Вотаниат,Никифор III Вотаниат,Nikefor III. Botanijat,Nikéforos III. Botaneiatés
5539,Wiktor III,Віктар III,Віктор III,Виктор III,Виктор III,Papež Viktor III,Viktor III
5540,Anaksagoras,Анаксагор з Клазаменаў,Анаксагор,Анаксагор,Анаксагор,Anaksagora,Anaxagorás
5541,Empedokles,Эмпедокл Акраганцкі,Емпедокл,Эмпедокл,Емпедокъл,Empedoklej,Empedoklés
5542,Diogenes z Apollonii,Дыяген Апаланійскі,Діоген Аполлонійський,Диоген Аполлонийский,Диоген Аполонийски,Diogen iz Apolonije,Díogenés z Apollónie
5543,Pitagoras,Піфагор Самаскі,Піфагор,Пифагор,Питагор,Pitagora,Pythagoras
5544,Pitagoras,Піфагор Самоскі,Піфагор,Пифагор,Питагор,Pitagora,Pythagoras
5545,Empedokles,Эмпедокл з Агрыгента,Емпедокл,Эмпедокл,Емпедокъл,Empedoklej,Empedoklés
5546,Parmenides,Парменід з Элеі,Парменід,Парменид,Парменид,Parmenid,Parmenidés
5547,David Lloyd George,Лойд Джордж,Ллойд Девід,Дэвид Ллойд Джордж,Дейвид Лойд Джордж,David Lloyd George,David Lloyd George
5548,Elżbieta I Tudor,Лізавета I,Єлизавета I,Елизавета I,Елизабет I,Elizabeta I. Angleška,Alžběta I
5549,Mikołaj z Miry,Святы Мікалай,Миколай Чудотворець,Николай Чудотворец,Николай Чудотворец,Nikolaj iz Mire,Svatý Mikuláš
5550,Mikołaj z Miry,Мікалай Мірлікійскі,Миколай Чудотворець,Николай Чудотворец,Николай Чудотворец,Nikolaj iz Mire,Svatý Mikuláš
5551,Aurobindo Ghose,Шры Аўрабінда,Шрі Ауробіндо,Шри Ауробиндо,Шри Ауробиндо,Šri Aurobindo,Šrí Aurobindo
5552,Aurobindo Ghose,Аўрабінда Гхош,Шрі Ауробіндо,Шри Ауробиндо,Шри Ауробиндо,Šri Aurobindo,Šrí Aurobindo
5553,Cemal Gürsel,Джэмаль Гюрсель,Джемаль Гюрсель,Джемаль Гюрсель,Джемал Гюрсел,Cemal Gürsel,Cemal Gürsel
5554,Bonifacy z Montferratu,Баніфацый I Манферацкі,Боніфацій I Монферратський,Бонифаций I Монферратский,Бонифаций Монфератски,Bonifacij I. Montferraški,Bonifác z Montferratu
5555,Piotr I Wielki,Пётр I Вялікі,Петро I,Пётр I,Петър I ,Peter Veliki,Petr I. Veliký
5556,Bertrand Russell,Бертран Артур Уільям Расэл,Бертран Рассел,Бертран Рассел,Бъртранд Ръсел,Bertrand Russell,Bertrand Russell
5557,Rembrandt,Рэмбрант ван Рэйн,Рембрандт ван Рейн,Рембрандт,Рембранд,Rembrandt,Rembrandt
5558,Ivar Aasen,Івар Андрэас Осэн,Андреас Івар,Ивар Осен,Ивар Осен,Ivar Andreas Aasen,Ivar Aasen
5559,Le Corbusier,Ш. Э. Ле Карбюзье,Ле Корбюзьє,Ле Корбюзье,Льо Корбюзие,Le Corbusier,Le Corbusier
5560,Filip V Hiszpański,Філіп V ,Філіп V ,Филипп V ,Филип V ,Filip V. Španski,Filip V. Španělský
5561,Filip V Hiszpański,Феліпэ V,Філіп V ,Филипп V ,Филип V ,Filip V. Španski,Filip V. Španělský
5562,Filip V Hiszpański,Філіп V Іспанскі,Філіп V ,Филипп V ,Филип V ,Filip V. Španski,Filip V. Španělský
5563,Karol III Hiszpański,Карлас III,Карл III ,Карл III ,Карлос III,Karel III. Španski,Karel III. Španělský
5564,Izabela II Hiszpańska,Ізабела II Бурбон,Ізабела II,Изабелла II,Исабела II,Izabela II. Španska,Isabela II. Španělská
5565,Karol V Habsburg,Карла V,Карл V Габсбург,Карл V ,Карл V,Karel V. Habsburški,Karel V
5566,Wilhelm Reich,Вільгельм Райх,Вільгельм Райх,Вильгельм Райх,Вилхелм Райх,Wilhelm Reich,Wilhelm Reich
5567,Friedrich Hölderlin,Гёльдэрлін,Фрідріх Гельдерлін,Фридрих Гёльдерлин,Фридрих Хьолдерлин,Friedrich Hölderlin,Friedrich Hölderlin
5568,Christoph Willibald Gluck,Крыстоф Вілібальд Глюк,Віллібальд Крістоф,Кристоф Глюк,Кристоф Глук,Christoph Willibald Gluck,Christoph Willibald Gluck
5569,Jean Anouilh,Ануй,Жан Ануй,Жан Ануй,Жан Ануи,Jean Anouilh,Jean Anouilh
5570,Pierre Corneille,Карнель,П'єр Корнель,Пьер Корнель,Пиер Корней,Pierre Corneille,Pierre Corneille
5571,Pierre de Ronsard,Рансар,де П'єр,Пьер Ронсар,Пиер дьо Ронсар,Pierre de Ronsard,Pierre de Ronsard
5572,Jean Baptiste Racine,Расін,Жан Расін,Жан Расин,Жан Расин,Jean Racine,Jean Racine
5573,Evelyn Waugh,Іўлін Во,Івлін Во,Ивлин Во,Ивлин Уо,Evelyn Waugh,Evelyn Waugh
5574,Paul Cézanne,П. Сезан,Поль Сезанн,Поль Сезанн,Пол Сезан,Paul Cézanne,Paul Cézanne
5575,Karol Młodszy,Карл Юны,Карл Юний,Карл Юный,Карл Млади,Karel Mlajši,Karel Mladší
5576,Karol Młodszy,Карл Малодшы,Карл Юний,Карл Юный,Карл Млади,Karel Mlajši,Karel Mladší
5577,Ernest Żelazny,Эрнст,Ернст Залізний,Эрнст ,Ернст Железни,Ernest Železni,Arnošt Habsburský 
5578,Ernest Żelazny,Эрнст Жалезны,Ернст Залізний,Эрнст ,Ернст Железни,Ernest Železni,Arnošt Habsburský 
5579,Wilhelm II Rudy,Вільгельм II,Вільгельм II Рудий,Вильгельм II ,Уилям II ,Viljem II. Angleški,Vilém II. Ryšavý
5580,Wilhelm II Rudy,Вільгельм II Руфус,Вільгельм II Рудий,Вильгельм II ,Уилям II ,Viljem II. Angleški,Vilém II. Ryšavý
5581,Henryk I Beauclerc,Генрых I,Генріх I Боклерк,Генрих I ,Хенри I ,Henrik I. Angleški,Jindřich I. Anglický
5582,Knut Wielki,Кнуд I,Канут Великий,Кнуд Великий,Кнут Велики,Knut Veliki,Knut Veliký
5583,Björn Borg,Б’ёрн Борг,Б'єрн Борг,Бьорн Борг,Бьорн Борг,Björn Borg,Björn Borg
5584,Ludwik VIII Lew,Людовік VIII ,Людовик VIII Лев,Людовик VIII,Луи VIII,Ludvik VIII. Francoski,Ludvík VIII. Francouzský
5585,Ivar Aasen,Івар Осэн,Андреас Івар,Ивар Осен,Ивар Осен,Ivar Andreas Aasen,Ivar Aasen
